4,outdoor friends
18,professional couple
4,delightful people
11,young ladies
11,sick child
24,business travelers
37,canine guests
11,low teens
20,breakfast crowd
11,young people
37,valuable guests
12,last visit
12,future visit
12,next visit
4,wonderful visit
44,next trip
12,entire trip
15,front entry way
36,free wifi
36,free wifi
36,free breakfast
20,buffet line
2,full elevators
17,nice bar
40,valet parking
23,queen room
24,enough luxury
7,living pool
7,room area
10,parkview room
25,valet station
4,gorgeous grounds
4,wonderful server
4,perfect walking access
17,great restaurant 
17,great restaurant 
4,perfect access
4,easy access
10,courtyard facility
7,bistro area
4,wonderful area
7,great area
7,converted barn
5,diamond status
27,ceiling windows
10,meeting rooms
10,conference rooms
39,family rooms
10,welcoming rooms
39,big rooms
39,large rooms
4,exhibition space
24,luxurious space
5,clearly visible
4,19th century farm
24,modern amenities
7,estate side view
4,beautiful property
33,impeccably clean
33,delightfully comfortable
39,separate bedroom
18,quick drive
10,offered rooms
7,sitting area
39,double tree suites
27,inviting porch
27,inviting porch
2,wooden swing
39,several rooms
10,comfy rooms
39,nice rooms
23,awesome king bed
21,antique furniture
39,antiques filled room
4,great location
39,bedrooms kids
10,guest rooms
22,morning coffee
39,victorian style rooms
26,luggage racks
17,bar business
1,overall product
18,rare commodity
41,sweet goods
18,decent option
4,self park option
20,breakfast selection
5,desirable option
20,comprehensive breakfast selection
1,great choice
37,canine guests
30,dog food
37,beloved dog
18,usual things
16,little things
9,small desert
33,dear littleness
16,little balcony
16,small side
16,little sunshine
15,small desk
14,room service
40,booked massages
14,car service
14,service issues
39,nicely room massages
14,excellent service
14,great customer service
33,warm welcome
5,real issue
35,efficient registration system online
14,good service
10,friendly hospitality
40,housekeeping team
5,management representative
15,front desk person
10,hotel staff
17,bistro employees
40,housekeeping 
11,giving workers
5,current employees
34,professional massage therapist
33,make masseuse
17,excellent chef
17,head chef
11,talented artists
15,front desk
5,primary innkeeper
33,wonderful innkeeper
33,good innkeeper
33,wonderful innkeepers
33,polite staff
33,incredibly kind
10,accommodating staff
33,friendly manner
4,great relaxation
44,weekend retreat
18,personal touch
12,great night
21,rustic charm
4,scenic drive
21,quaint ambiance
4,home feeling
12,night light
4,ideal spot
12,great conversations
1,good thing
1,good value
1,great value
1,great value
44,memorable staycation
44,weekend getaway
12,great stay
5,european flair
44,holiday weekend
33,nice touch
24,modern touch
21,antique touches
44,past weekend 
44,past weekend 
44,past weekend 
4,country atmosphere
4,relaxing place
44,annual trip
33,lively conversation
8,guest feedback
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
3,helpful votes
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
8,reviews
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
6,subjective opinions
18,used points
33,honest feedback
8,couple reviews
8,business reviews
8,travel reviews
8,poor reviews
12,years eve
5,future engagements
31,wedding reception
19,birthday dinner
19,birthday plate
44,family reunion
19,special birthday
19,birthday surprise
31,anniversary wishes
31,year anniversary
18,different occasions
31,nephews wedding
31,wedding anniversary
1,really good
33,comfortable feeling
33,impeccably clean
1,general feel
24,utmost quality
14,good service
33,quite inviting
18,utterly increased
33,remarkably quiet
1,really good
33,upscale feel
18,low feel
18,surpassed expectations
33,delightfully unpretentious
1,good experience
1,good experience
1,good experience
1,exceptional job
1,great experience
1,great experience
4,simply magnificent
33,surprisingly comfort
18,busy times
18,busy schedules
18,closing time
12,last minute
20,affordable excellent breakfast fare
24,affordable bed
24,standard vehicles
24,oversized vehicles
7,parking information
18,course couches
13,hot water
40,icemaker
18,flat screen
26,luggage racks
23,sofa bed
27,rocking chairs
24,private car
23,comfy bed
2,jetted tub
2,large tub
2,whirlpool tub
2,regular tub
2,full bath
33,beloved couch
18,depression era glassware
23,awesome king bed
27,inviting porch
2,wooden swing
2,whirlpool baths
9,Small Desert
19,Birthday Dinner
19,Birthday Plate
9,Birthday Desert
18,Short Ribs
12,Great Meal
12,Great Meal
22,Quick Coffee
20,Excellent Breakfast
12,Light Meal
30,Dog Food
30,Hot Food
13,Sausage patty
13,French Toast
13,Sausage Rounds
41,Cut fruits
41,dried fruits
13,salad
20,buffet line
20,Breakfast Selection
30,Food quality
30,Smart food
36,Free Breakfast
41,Soy Milk
12,Night Snacks
43,Home made lemon pan cake
41,lemon curd
20,divine breakfast
38,chocolate chip
20,terrific breakfast
41,whole grains
28,cheese omelette
38,Chip Cookie
13,Hot waffles
30,dining food
13,culinary pairings
13,egg rolls
41,fresh fruit
38,cinnamon rolls
40,herb casserol
20,delicious breakfast
30,great food
28,scalloped potatoes
20,breakfast buffet
5,main courses
30,great food
20,lovely buffet
30,vegetarian diet
22,morning coffee
22,evening drinks
30,special diet
41,organic ice cream
13,French Toast
5,Particular Establishment
10,Residence inns
17,Nice Inn
4,Wonderful property
24,standard residence
4,cute village
4,Great Place
4,Great Place
10,Lovely Hotel
4,wonderful place
17,great restaurant
17,Nice bar
17,Kitchen Bar
12,Great Ships
17,clean cafe
7,Local mall
17,grocery store
4,main house
25,subway station
12,movie theater
5,entire property
4,beautiful property
10,boutique hotel
4,2 story dwelling
24,Victorian Style homes
4,Whole Place
29,College fraternity house
4,Interesting Museums
7,nearby bookstore
7,public areas
8,bigname hotels
7,area places
7,area restaurants
22,coffee table
15,small desk
18,different table
7,dining table
1,unpleasant experience
5,health issues
18,relatively pricey
12,late arrivals
33,overly fussy
18,unpleasant things
0,moldy bathrooms
1,horrible breakfast experience
5,design flaw
18,weird design
4,street sounds
16,little cramped
1,disappointing experience
33,really tacky
8,poor review
18,really annoying
16,little sprucing
33,smoky smell
18,noise levels
18,expensive ones
32,walking distances
32,walking distances
32,walking distances
32,walking distances
42,2 minute walk
42,minute walk
4,perfect walking access
42,short walk
42,nice walk
18,remotely close
